customers,dynamism,strategy,metric,mean,sd,se,ci95_low,ci95_high,n
50,0.2,insertion_2opt_star,route_disruption,624.6,92.26483620534965,41.26208913760911,543.7263052902862,705.4736947097139,5
50,0.2,insertion_2opt_star,compute_time_s,0.21000646000320558,0.019098294845304273,0.008541017105686836,0.19326606647605937,0.2267468535303518,5
50,0.2,insertion_2opt_star,evaluations,12598.4,515.0653356614091,230.34422067853146,12146.925327470079,13049.87467252992,5
50,0.2,tabu_search,total_distance,376.68597114137697,45.65772924912203,20.418757259863455,336.6652069120446,416.70673537070934,5
50,0.2,tabu_search,mean_response_time_ms,0.9607436003279872,0.0498825597260456,0.022308158887826248,0.9170196089078477,1.0044675917481267,5
50,0.2,tabu_search,route_disruption,26.0,0.0,0.0,26.0,26.0,5
50,0.2,tabu_search,compute_time_s,0.05625321999541484,0.003357453292964306,0.0015014987588697407,0.05331028242803015,0.059196157562799535,5
50,0.2,tabu_search,evaluations,500.0,0.0,0.0,500.0,500.0,5
50,0.4,greedy_insertion,total_distance,1185.0653832212952,65.76080504781072,29.409126068403214,1127.4234961272248,1242.7072703153656,5
50,0.4,greedy_insertion,mean_response_time_ms,0.7991980004007928,0.010123374894208,0.0045273108850327655,0.7903244710661286,0.808071529735457,5
50,0.4,greedy_insertion,route_disruption,100.0,0.0,0.0,100.0,100.0,5
50,0.4,greedy_insertion,compute_time_s,0.0502310200012289,0.0013968392913296067,0.0006246855218111266,0.049006636378479095,0.051455403623978706,5
50,0.4,greedy_insertion,evaluations,690.8,24.933912649241393,11.150784725749125,668.9444619375316,712.6555380624683,5
50,0.4,insertion_2opt_star,total_distance,953.7077722414284,54.65831058022572,24.443939598536133,905.7976506282976,1001.6178938545593,5
50,0.4,insertion_2opt_star,mean_response_time_ms,4.286766399862245,0.7027934315472731,0.3142987774160096,3.670740796126866,4.902792003597623,5
50,0.4,insertion_2opt_star,route_disruption,414.4,113.75983473968306,50.87494471741468,314.68510835386724,514.1148916461327,5
50,0.4,insertion_2opt_star,compute_time_s,0.22563249999948312,0.03578960551064596,0.016005598161941085,0.1942615276020786,0.25700347239688764,5
50,0.4,insertion_2opt_star,evaluations,13071.6,254.38415831179427,113.76405407684801,12848.622454009379,13294.577545990622,5
50,0.4,tabu_search,total_distance,361.17831839351066,49.246747372665624,22.0238149592079,318.0116410734632,404.34499571355815,5
50,0.4,tabu_search,mean_response_time_ms,0.9674443996627815,0.06142549849194391,0.02747031803595948,0.9136025763123009,1.021286223013262,5
50,0.4,tabu_search,route_disruption,26.0,0.0,0.0,26.0,26.0,5
50,0.4,tabu_search,compute_time_s,0.05731363999948371,0.004634753885066176,0.0020727249491978433,0.05325109909905594,0.06137618089991148,5
50,0.4,tabu_search,evaluations,500.0,0.0,0.0,500.0,500.0,5
50,0.6,greedy_insertion,total_distance,1189.0125085358811,54.71388388606168,24.468792736452855,1141.0536747724336,1236.9713422993286,5
50,0.6,greedy_insertion,mean_response_time_ms,0.8577324005309492,0.10087883157297034,0.045114384977582744,0.769308205974887,0.9461565950870114,5
50,0.6,greedy_insertion,route_disruption,100.0,0.0,0.0,100.0,100.0,5
